bonsoir à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures à la une	à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures	_
perrine baglan avec amélie pateyron et jean maurice prin la france vous le disiez a envoyé des renforts sur le sol espagnol plus de quatre cents pompiers sept avions bombardiers d' eau sont sur place décision prise par le ministre de l' intérieur manuel valls	baghlan avec amélie pateyron et jan maurice prin la france vous disiez envoyer des renforts sur le sol espagnol plus de quatre cents pompiers sept avions bombardiers d' eau sont sur place décision prise par le ministre de l' intérieur manuel valls	_
ce qui se passe en europe doit nous toucher et notamment un pays comme l' espagne qui est	qui se passe en europe doit nous toucher notamment un pays comme l' espagne qui est	_
en plus frappé par la crise économique et financière évidemment c' est une région que je connais bien hum et qui a déjà été touchée par des incendies tout à fait dramatiques	plus frappés par la crise économique et financière évidemment c' est une région que je connais bien et qui a déjà été touché par des incendies tout à fait dramatique	_
dans l' actualité également ce nouvel avis de tempête sur la zone euro	dans l' actualité également ce nouvel avis de tempête sur la zone euro	_
trois pays dont la pourtant très solide allemagne placée sous perspective négative par l' agence de notation moody' s leur triple a est désormais menacé nicolas de labareyre	trois pays dont la pourtant très solide allemagne placer sous perspective négative par l' agence de notation modise leur triple a est désormais menacé nicolas de labareyre	_
est ce au tour de l' allemagne du luxembourg et des pays bas de perdre leur triple a	ce autour de l' allemagne du luxembourg et des pays bas de perdre leur triple a	_
possible l' agence moody' s a placé hier soir ces pays sous perspectives négatives	l' agence moody' s a placé hier soir ces pays sous perspective négative	_
en clair elle n' exclut pas d' abaisser leur note si la situation se dégrade	en clair elle n' exclut pas d' abaisser leurs notes si la situation se dégrade	_
cet avertissement ne panique pas les investisseurs	cet avertissement ne panique pas les investisseurs	_
les bourses européennes restent stables ou en légère baisse	bourses européennes reste stable ou en légère baisse	_
cette dégradation n' est certainement pas un signal positif mais ça n' influe pas trop sur les marchés	dégradation n' est certainement pas un signal positif mais ça n' influe pas trop sur les marchés	_
parce que nous avons déjà observé dans le passé des décisions étranges de la part des agences de notations cette baisse de perspective n' aurait pas dû avoir lieu mais dans un sens c' était prévisible	parce que nous avons déjà observé dans le passé des décisions étranges de la part des agences de notation cette baisse de perspective n' aurait pas dû avoir lieu dans un sens c' était prévisible	_
prévisible parce que la crise de la dette n' en finit plus d' inquiéter les analystes pour se justifier moody' s explique qu' il est de plus en plus probable que la grèce sorte de la zone euro et que de nouveaux plans de sauvetage soient nécessaires pour l' espagne et l' italie notamment	prévisible parce que la crise de la dette n' en finit plus d' inquiéter les analystes pour se justifier moodys explique t il est de plus en plus probable que la grèce sortent de la zone euro que de nouveaux plans de sauvetage soit nécessaire pour l' espagne et l' italie notamment	_
de tels événements pèseraient sur les pays les plus solides	tels événements pèserait sur les pays les plus solides	_
le fait qu' il y ait une mise sous surveillance négative de l' allemagne c' est simplement le fait de comprendre que si les pays de l' europe sont dans une difficulté plus grande et bien il y aura un coup pour l' allemagne et que ce coup viendrait déstabiliser le les finances publiques allemandes	fait qu' il y ait une mise sous surveillance négative de l' allemagne c' est simplement le fait de comprendre que si les pays de l' europe sont en difficulté plus grande eh bien il y aura un coût pour l' allemagne et que ce coup viendrait déstabiliser le lait des finances publiques allemandes	_
pour le moment l' allemagne reste parmi les états considérés comme les plus solvables le ministre des finances allemand assure que son pays continuera d' être je cite l' ancre de stabilité dans la zone euro	le moment l' allemagne reste parmi les etats considérés comme les plus solvable le ministre des finances allemand assure que son pays continuera d' être je cite l' ancre de stabilité dans la zone euro	_
la filière automobile à la veille d' une journée capitale pour son avenir les négociations s' ouvrent demain chez psa sur le plan social qui prévoit la suppression de huit mille postes c' est aussi demain qu' en conseil des ministres le gouvernement doit se pencher sur les mesures de soutien au secteur	la filière automobile à la veille d' une journée capitale pour son avenir les négociations s' ouvrent demain chez psa sur le plan social qui prévoit la suppression de huit mille postes c' est aussi demain qu' en conseil des ministres le gouvernement doit se pencher sur les mesures de soutien au secteur	_
et dans ce contexte l' opposition a clairement décidé de s' en prendre à arnaud montebourg	dans ce contexte l' opposition a clairement décidé de s' en prendre à arnaud montebourg	_
le chef de file des députés ump christian jacob reproche au ministre du redressement productif de se comporter en procureur dans le dossier psa le porte parole du groupe centriste jean christophe lagarde regrette de son côté que le ministre parle au lieu d' agir	chef de file des députés ump christian jacob reproche au ministre du redressement productif de se comporter en procureur dans le dossier psa le porte parole du groupe centriste jean christophe lagarde regrette de son côté que le ministre parle au lieu d' agir	_
nous sommes lassés des moulinets estivaux de monsieur montebourg	sommes assez des moulinets estivaux de monsieur montebourg	_
c' est bien d' être g() d' agiter les bras de faire comme s' il était encore candidat à la primaire socialiste mais aujourd' hui il est ministre de la république il s' agit plus de nous dire je peux faire il a les moyens de faire	c' est bien de hadjout d' agiter les bras de fer comme s' il était encore candidat à la primaire socialiste aujourd' hui les ministres de la république il s' agit plus de nous dire je peux faire il a les moyens de faire	_
que fait il dénoncer les uns ça ne donne pas de solutions pour les salariés créer cette tension	fait il dénonçait les en ça ne donne pas des solutions pour les salariés crée cette tension	_
qui a conduit le premier ministre à apaiser les choses en recevant lui même les dirigeants de peugeot ça ne s() ça ne ça n' apporte rien de positif donc la vraie question c' est comment empêcher que ces sites de peugeot ferment c' est même pas encore la réindustrialisation c' est que faites vous	a conduit le premier ministre à apaiser les choses en recevant lui même les dirigeants de peugeot ça ne s ça ça ne ça n' apporte rien de positif donc la vraie question c' est comment empêcher cécile de peugeot faire c' est même pas encore la réindustrialisation c' est que faites vous	_
première réaction d' éric woerth il est soulagé des experts mandatés par bercy ont estimé que la vente des terrains de l' hippodrome de compiègne en deux mille dix était légale l' ancien ministre du budget était soupçonné de les avoir en quelque sorte de les avoir bradés	première réaction d' eric woerth il est soulagé des experts mandatés par bercy ont estimé que la vente des terrains de l' hippodrome de compiègne en deux mille dix était légale l' ancien ministre du budget étaient soupçonnés de les avoir en quelque sorte brader	_
c' est vrai que les rapports d' expertises sont de juridiques sont des rapports qui me donnent raison donc c' est évidemment toujours un c' est d' abord un soulagement voilà	est vrai que les rapports d' expertise on aurait dit que ce sont des rapports qui me donne raison donc c' était évidemment toujours hein c' est d' abord un soulagement	_
c' est la confirmation de ce que je dis depuis deux ans cette vente était légale évidemment	c' est la confirmation de ce que je dis depuis deux ans cette vente est légale évidemment	_
et dans l' intérêt de l' état	si dans l' intérêt de l' etat	_
ceux qui ont dit le contraire avaient soit une arrière pensée politique très forte soit d' autres dossiers à défendre derrière cela soit tout simplement essayaient de me de me nuire comme ça arrive malheureusement trop souvent dans la vie politique quand elle est mal accomplie	ce qui ont dit le contraire avait soit une arrière pensée politique très forte soit d' autres dossiers à défendre derrière cela soient tout simplement essayer de me nuire comme ça arrive malheureusement trop souvent dans la vie politique quand elle est mal accompli	_
un mois après la fusillade qui a fait deux morts devant la discothèque de le théâtro à lille le tireur présumé et l' homme avec lequel il avait pris la fuite viennent d' être présentés à un juge lillois ils avaient été arrêtés en espagne	un mois après la fusillade qui a fait deux morts devant la discothèque le teatro à lille le tireur présumé est l' homme avec lequel il avait pris la fuite viennent d' être présenté un juge lillois ils avaient été arrêtés en espagne	_
après quelques jours de cavale c' est aujourd' hui que les autorités espagnoles les ont extradés vers la france	après quelques jours de cavale c' est aujourd' hui que les autorités espagnoles les ont extradé vers la france	_
cinq mille nouveaux réfugiés depuis trois jours en jordanie des camps d' accueil en iraq désormais l' exode des syriens s' intensifie le liban	cinq mille nouveaux réfugiés depuis trois jours en jordanie des camps d' accueil en irak désormais l' exode des syriens s' intensifient le liban	_
fait évidemment partie des portes de sortie avec une particularité là bas en raison de la forte diaspora syrienne on se retrouve avec une cohabitation très tendue entre pro et anti bachar	fait évidemment partie des portes de sortie avec une particularité là bas en raison de la forte diaspora syrienne on se retrouve avec une cohabitation très tendu entre pro et anti bâche	_
à tripoli dans le nord du pays reportage des envoyés spéciaux de bfmtv laetitia soudy et quentin baulier	tripoli dans le nord du pays reportages des envoyés spéciaux de bfm tv laetitia soudy et quentin bollier	_
bab el tabbaneh dans le centre de tripoli ici plusieurs comités se sont constitués pour aider les réfugiés syriens comme cette femme	belle tabac né dans le centre de tripoli ici plusieurs comités se sont constituées pour aider les réfugiés syriens comme cette femme	_
le quartier soutient en effet les opposants des sunnites comme eux qui veulent mettre fin a plus de dix ans de répression	le quartier soutient en effet les opposants sunnites comme qui veulent mettre fin à plus de dix ans de répression	_
le régime syrien a atteint un niveau extrême de cruauté de meurtre	le régime syrien a atteint un niveau extrême cruauté demeure	_
pour cette raison nous voulons sa fin	pour cette raison nous voulons sa femme	_
le conflit syrien est très présent ici à tripoli car les deux camps se font face en contrebas ces immeubles soutiennent l' opposition quelques mètres plus haut dans cette rue c' est le portrait de bachar al assad qui est brandi	le conflit syrien est très présent ici à tripoli car les deux camps se font face en contrebas ces immeubles soutiennent l' opposition quelques mètres plus haut dans cette rue c' est le portrait de bachar al assad qui est brandi	_
alors ici les affrontements sont fréquents ces impacts sur cet immeuble le prouvent ali fadah est alaouite il représente un parti pro syrien pour lui faire tomber bachar al assad serait une menace pour le liban	alors ici les affrontements sont fréquents ces impacts sur cet immeuble le prouvent fada est alaouites il représente un parti pro syrien pour lui faire tomber bachar el assad serait une menace pour le liban	_
cela a un impact sur la relation entre la syrie et le liban qui dure depuis des années on coopère on est deux voisins donc notre zone ne doit pas être une route pour attaquer la syrie et ce qu' ils font est une intervention dans un problème syrien	s bonnabry cela a un impact sur la relation entre la syrie et le liban qui dure depuis des années on coopère on est deux voisins donc notre zone ne doit pas être une route pour attaquer la syrie est ce qu' ils font est une intervention dans un problème syrien	_
mais certains habitants regrettent cette tension	certains habitants regrette cette tension	_
et nous c' est pareil on est pas heureux et eux non plus on doit vraiment trouver une solution	nous c' est pareil mais pas heureux et non plus mâché allaient bon doit vraiment trouver une solution non pas alors bon mais pas avant	_
a tripoli l' armée très présente tente donc de garder un calme toujours précaire	tripoli l' armée très présent tente donc de garder un calme toujours précaire	_
les jeux olympiques j moins trois les anneaux olympiques en guise de comité d' accueil	les jeux olympiques j moins trois les anneaux olympiques en guise de comité d' accueil	_
et la gare de saint pancras qui marque la fin de la grande transhumance des athlètes français un gros contingent	m lagarde saint pancras qui marque la fin de la grande transhumance des athlètes français un gros contingent	_
a débarqué vous reconnaissez laure manaudou il y a également yannick agnel qui est présent le grand qui est là des sportifs qui pourraient bien faire le voyage retour avec une médaille dans les bagages la délégation des nageurs est officiellement à londres	débarquer vous reconnaissez laure manaudou il y a également yannick daniel qui est présent le grand qui est là des sportifs qui pourrait bien faire le voyage retour avec une médaille dans les bagages la délégation des nageurs est officiellement à londres	_
(h) le voyage s' est bien passé et je suis attendue donc je répondrai plus tard si c' est possible	c' est bien passé je suis attendue donc je ne répondrai plus tard c' est possible	_
belle ambiance la marseillaise dès qu' on arrive c' est sympa ça fait plaisir on va arriver cet après midi au village	ambiance la marseillaise dès qu' on arrive c' est sympa ça fait plaisir pas arrivé cet après midi au village	_
ça va vraiment lancer les jeux olympiques et et nous mettre dans l' ambiance et on a vraiment hâte de de pouvoir performer ici	ça va vraiment lancé les jeux olympiques et nous met dans l' ambiance en a vraiment hâte de pouvoir faire formé ici	_
on y est maintenant dernière dernier jour de ligne droite donc on va paufiner tous les petits détails et voila ça fait super plaisir de d' arriver d' entendre la marseillaise les anneaux et tout ça on est y a plus qu' à	on y est maintenant dernier dernier jour de lignes droites on va peaufiner les petits détails voilà ça peut se faire plaisir d' aire d' arrivée d' entendre la marseillaise les annonces on y est applicable	_
voila y a plus qu' à y a plus qu' à jeter un oeil sur le temps de demain matin on va découvrir ensemble voilà	voilà il y a plus qu' il y a plus qu' acheter aussi un oeil sur le temps de demain matin on va découvrir ensemble voilà	_
no comment il y a deux petits nuages pour la région niçoise et la corse le reste c' est formidable et les températures très douces vous allez le voir dès le lever du jour treize à lille seize à paris et bayonne dix sept à lyon et vingt degrés à bastia	il y a deux petits nuages pour la région niçoise et la corse le reste c' est formidable et les températures très douces vous allez le voir dès le lever du jour très à lille seize à paris et bayonne dix sept à lyon et vingt degrés à bastia	_
merci damien gourlet on vous retrouve à	merci damien gourlet on vous retrouve à	_
dix huit heures trente après	huit heures trente après	_
la droite populaire après la droite humaniste voici la droite forte deux jeunes pousses de l' ump	droite populaire après la droite humaniste voici la droite forte deux jeunes pousses de l' ump	_
guillaume peltier et geoffroy didier lancent ce nouveau mouvement de quoi s' agit il je les ai invités pour en parler geoffroy didier bonsoir guillaume peltier bonsoir vous êtes tous deux secrétaires nationaux à l' ump	guillaume peltier geoffroy didier lance ce nouveau mouvement de quoi s' agit il je les ai invité pour en parler geoffroy didier bonsoir guillaume peltier bonsoir vous êtes tous deux secrétaires nationaux à l' ump	_
guillaume peltier vous avez notamment participé en tant que porte parole à la campagne de nicolas sarkozy geoffroy didier on vous voit souvent à côté de brice hortefeux vous êtes donc deux jeunes sarkozistes alors si j' ai bien compris la droite forte ça rappelle la france forte c' est la continuité	guillaume peltier vous avez notamment participé en tant que porte parole à la campagne de nicolas sarkozy geoffroy didier on voit souvent à côté de brice hortefeux vous êtes donc deux jeunes sarkozystes alors si j' ai bien compris la droite forte ça rappelle la france forte c' est la continuité	_
c' est dans un dans dans un prolongement avec geoffroy qui a été aussi l' un des coordinateurs de la seule riposte qui avait beaucoup travaillé tout au long de la campagne présidentielle	dans un dans dans un prolongement avec geoffroy qui a été aussi l' un des coordinateurs de la cellule riposte qui avaient beaucoup travaillé tout au long de la campagne présidentielle	_
on a souhaité d' abord assumer	a souhaité d' abord assumer	_
de manière totalement décomplexée le sarkozysme	manière totalement décomplexée le sarkozysme	_
repousser	repoussé	_
ce droit d' inventaire qu' on entend ici ou là	droit d' inventaire qu' on entend ici ou là	_
parfois de manière trop forte dans notre dans notre camp assumer le sarkozysme comme fondation de la droite de demain et parler évidemment d' avenir nous qui avons un peu plus de trente ans	parfois de manière trop forte dans notre dans notre camp assumait le sarkozysme comme fondation de la droite de demain et parlé évidemment d' avenir nous qui avons un peu plus de trente ans	_
mais c' est quoi le sarkozysme parce que nicolas sarkozy c' est avant tout un homme pragmatique est ce qu' on peut définir une ligne de pensée de sarkozy	c' est quoi le sarkozysme parce que nicolas sarkozy c' était avant tout un homme pragmatique ce qu' on peut définir une ligne de pensée sarkozyste	_
c' est la première fois que que l' ump est dans l' opposition depuis sa création	et c' est la première fois que que l' ump et dans l' opposition depuis sa création	_
donc la droite se retrouve aujourd' hui face à elle même donc nous estimons que la droite n' a pas été suffisamment sûre de ses valeurs et suffisamment combative sur la forme donc nous avons une double urgence	donc la droite se retrouvent aujourd' hui face à elle même donc nous estimons que la droite n' a pas été suffisamment sûre de ses valeurs et suffisamment combatif sur la forme donc nous avons une double urgence	_
d' une droite plus décomplexée et c' est vrai que nicolas sarkozy a largement contribué à décomplexer la droite	une droite plus décomplexée c' est vrai que nicolas sarkozy a largement contribué à des complices	_
droite décomplexée	été décomplexée	_
c' est une droite qui arrête de parler du front national	est une droite qui arrête de parler du front national	_
c' est une droite qui est sûre de ses valeurs et nos valeurs quelles sont elles c' est l' amour de la france	c' est une droite qui est sûr de ses valeurs et nos valeurs quelles sont elles c' est l' amour de la france	_
c' est le respect de nos frontières c' est la récompense du mérite c' est la priorité au travail ce sont toutes ces valeurs qui sont le coeur du peuple militant de droite	le respect de nos frontières c' est la récompense du mérite c' est la priorité au travail sont toutes ces valeurs qui sont le coeur du peuple militant de droite	_
eu de cesse de nous excuser mais le rôle d' un parti politique ce n' est pas d' être obsédé par un autre trop souvent l' ump a parlé du front national nous voulons parler	ne cesse de nous excuser le rôle d' un parti politique ce n' est pas d' être obsédé par un autre trop souvent l' ump a parlé du front national nous voulons parler	_
de nos valeurs ces valeurs sont fortes et ces valeurs nous devons les incarner les promouvoir	nos valeurs ses valeurs sont fortes et ses valeurs nous devons les incarner et promouvoir	_
et les brandir avec la même force avec laquelle nous avons brandi le drapeau tricolore à villepinte à la concorde ou au trocadéro	et brandir avec la même force avec laquelle nous avons brandit le drapeau tricolore à villepinte à la concours d' autres occasions	_
non mais penser que quand même ça sème le le trouble on a l' impression que vous êtes là pour préparer le retour de nicolas sarkozy	mes pensées que quand même ça sème le trouble on a l' impression que vous êtes là pour préparer le retour nicolas sarkozy	_
non mais (f) ça c' est un truc de de journalistes non mais parce qu' on mais parce que d' abord vous savez c' est très simple on a été très fier d' accompagner nicolas sarkozy tout au long du quinquennat et tout au long de la campagne présidentielle de deux mille douze non mais	mais ça c' est un truc de deux journalistes lensois nommément la droite forte mais parce qu' on ne met pas absolument plus et c' est très simple on a été très fier d' accompagner nicolas sarkozy tout au long du quinquennat et que tout au long de la il est pas utilisé en deux mille douze	_
ça c' est son choix et c' est son droit mais on a le droit de s' inspirer de ce qui a marché de ces valeurs fortes de cette fierté d' être nous même vous savez	que son choix et c' est son droit mais on a le droit de s' inspirer de ce qui a marché de ses valeurs forte de cette fierté d' être nouvelles vous savez	_
je vais vous dire sous jacques chirac faut être honnête la droite n' assumait pas toujours ses valeurs avec nicolas sarkozy il a décomplexé les valeurs qu' a évoqué	je vais vous dire sous jacques chirac il faut être honnête la droite n' assume pas toujours ces valeurs avec nicolas sarkozy il a décomplexée des valeurs qui a évoqué	_
je comprends bien mais ça va pas de soi puisqu' à à la tête de l' ump il y a jean françois copé et françois fillon est candidat à la présidence jean françois fillon a été le premier ministre de nicolas sarkozy qu' est ce que vous apportez de plus	je voudrais maintenant souvent puisque était de l' ump il faut que jean françois copé et françois fillon est candidat à la présidence je retrouve françois fillon a été le premier ministre de nicolas sarkozy mais qu' est ce que vous apportez de plus	_
non mais y a deux choses	mais il y a deux choses	_
pour nous le dix huit novembre il y a un congrès	nous le dix huit novembre il y a un congrès	_
et dans le congrès y a deux congrès le congrès des hommes qui est légitime entre françois fillon et jean françois copé et le congrès des idées	dans le congrès il y a deux congrès le congrès des hommes qui est légitime entre françois fillon et jean françois copé et le congrès des idées	_
et nous on souhaite avec geoffroy et beaucoup de de militants de responsables dans les départements de parlementaires	nous on souhaite avec geoffroy et beaucoup de de militants de rester dans les départements de parlementaires	_
d' affirmer haut et fort les idées pour permettre de reconstruire la droite de demain autour des valeurs que geoffroy vient d' a() vient d' annoncer	d' affirmer haut et fort les idées pour permettre de reconstruire la droite de demain autour des valeurs que geoffroy il y en a vient d' annoncer	_
quel est votre candidat à la présidence de l' ump	quelle est votre candidat à la prison de l' ump	_
mais ce n' est ce n' est pas notre	ce n' est n' est pas notre	_
priorité nous sommes nous sommes	priori ça ne vous allez en choisissant m	_
mais peut être que nous choisirons chacun à titre personnel en tant que militant mais nous avons surtout nous avons nous ressentons surtout sur le terrain le besoin	peut être que nous choisirons chacun à titre personnel en tant que militant mais pas forcément mais vous avez alors surtout nous avons nous ressentons surtout sur le terrain le besoin	_
d' une démarche idéologique et donc	une démarche idéologique donc	_
nous avons envie de combattre pour des valeurs plutôt que de défendre un leader	nous avons envie de combattre pour des valeurs plutôt que de défendre un leader	_
voilà notre urgence et voilà aujourd' hui l' urgence si nous voulons reconquérir les territoires	voilà notre urgence et voilà aujourd' hui l' urgence si nous voulons reconquérir les territoires	_
en deux mille quatorze et dans les années suivantes et puis il y a certains au sein de l' ump qui se lamentent sur le passé	deux mille quatorze et dans les années suivantes et puis il y a certains au sein de l' ump qui se lamente sur le passé	_
avec des droits d' inventaires inutiles nous nous estimons que la chance aujourd' hui que nous avons c' est d' être face à de vrais choix idéologiques et bien ces choix idéologiques nous voulons les affirmer les promouvoir et les brandir haut et fort	avec des droits d' inventaire inutile nous nous estimons que la chance aujourd' hui que nous avons c' est d' être face à de vrais choix idéologique et bien ses choix idéologique nous voulons les affirmer les promouvoir et les prend de l' iran	_
donc vous validez donc la décision de créer des mouvements	vous valider donc la la décision de créer des mouvements	_
au sein de l' ump	c' est un bien conservé	_
à jean françois copé d' avoir justement pris cette initiative	jean françois copé d' avoir justement pris cette initiative	_
alors est ce que c' est pas facteur de zizanie de discorde au sein d' un mouvement	est ce que c' est pas un facteur de zizanies de discorde au sein d' un mouvement	_
non je pense que au vingt et unième siècle c' est la grande réussite d' un parti politique que de savoir à des moments clés	non je pense qu' au vingt et unième siècle c' est la grande réussite d' un parti politique que de savoir à des moments clés	_
de son histoire et de sa reconstruction de s' ouvrir et de permettre au au peuple des adhérents c' est quand même l' ump le premier parti de france c' est trois cents mille adhérents	son histoire et de sa reconstruction de s' ouvrir et de permettre au peuple des adhérents c' est quand même l' ump le premier parti de france et trois cents mille adhérents	_
(n) recensés pour le vote du dix huit novembre prochain et de leur dire vous avez le choix	recensés pour le vote du dix huit novembre prochain et de leur dire vous avez le choix	_
sur le plan programmatique de choisir des valeurs autour desquelles vous souhaitez qu' on reconstruise la droite de demain qu' est ce que vous voulez	sur le plan programmatique de choisir des valeurs autour desquelles vous souhaitez qu' on reconstruisent la droite de demain qu' est ce que vous voulez	_
pour l' europe plutôt l' europe fédérale ou plutôt comme nous une europe politique pragmatique qui réhabilitique réhabilite pardon l' idée de frontière est ce que pour vous le patriotisme c' est ringard ou terriblement moderne pour nous	l' europe plutôt l' europe fédérale ou plutôt comme nous une europe politique pragmatique qui réhabiliter réhabilite pardon l' idée de frontière est ce que pour vous le patriotisme c' est ringard terriblement moderne pour nous	_
c' est extraordinairement moderne qu' est ce que vous voulez sur les questions de de justice nous nous ce que nous souhaitons par exemple c' est supprimer les remises de peine	est extraordinairement moderne qu' est ce que vous voulez sur les questions de de justice régalienne nous nous ce que nous souhaitons par exemple c' est supprimer les remises de peine	_
automatiques allez encore plus vite et plus loin sur les questions des valeurs que tous ce que nous avons abordé ces cinq dernières années	automatique aller encore plus vite et plus loin sur les questions des valeurs que tout ce que nous avons abordé ces cinq dernières années	_
mais pour l' instant ni françois fillon ni jean françois copé incarne ces valeurs	pour l' instant ni françois fillon ni jean françois copé incarne ses valeurs	_
c' est deux choix différents les les hommes et geoffroy vient de le dire vous avez un congrès des hommes vous choisirez	est un choix différent les les hommes geoffroy vient de le dire vous avez un congrès des hommes vous choisiriez	_
mais les courants ont été initiés au sein de l' ump pour permettre aux adhérents de choisir des idées et des idées fortes autour de la droite	les courants ont été initié au sein de l' ump pour permettre aux adhérents de choisir des idées et des idées fortes autour de la	_
